abbreviation,fullName,chargedFormula,charge,avgmolweight,monoisotopicweight,keggId,pubChemId,cheBlId,hmdb,pdmapName,reconMap,reconMap3,food_db,chemspider,biocyc,biggId,wikipedia,drugbank,seed,metanetx,knapsack,metlin,casRegistry,epa_id,inchiKey,inchiString,smile,Compound_ID,Pathway_ID,Pathway_Name
13dpg,"Glyceric acid 1,3-biphosphate",C3H4O10P2,-4,266.0371,265.9592695,C00236,683,,HMDB0001270,3-phospho-D-glyceroyl dihydrogen phosphate;D-glyceraldehyde 3-phosphate,13dpg,13dpg,FDB022524,663,DPG,13dpg,"1,3-Biphosphoglycerate",,cpd00203,MNXM261,,,1981-49-3,,LJQLQCAXBUHEAZ-UWTATZPHSA-J,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1",[H]O[C@@]([H])(C(=O)OP([O-])([O-])=O)C([H])([H])OP([O-])([O-])=O,cpd:C00236,path:map01100,Metabolic pathways
13dpg,"Glyceric acid 1,3-biphosphate",C3H4O10P2,-4,266.0371,265.9592695,C00236,683,,HMDB0001270,3-phospho-D-glyceroyl dihydrogen phosphate;D-glyceraldehyde 3-phosphate,13dpg,13dpg,FDB022524,663,DPG,13dpg,"1,3-Biphosphoglycerate",,cpd00203,MNXM261,,,1981-49-3,,LJQLQCAXBUHEAZ-UWTATZPHSA-J,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1",[H]O[C@@]([H])(C(=O)OP([O-])([O-])=O)C([H])([H])OP([O-])([O-])=O,cpd:C00236,path:map01062,Biosynthesis of terpenoids and steroids
13dpg,"Glyceric acid 1,3-biphosphate",C3H4O10P2,-4,266.0371,265.9592695,C00236,683,,HMDB0001270,3-phospho-D-glyceroyl dihydrogen phosphate;D-glyceraldehyde 3-phosphate,13dpg,13dpg,FDB022524,663,DPG,13dpg,"1,3-Biphosphoglycerate",,cpd00203,MNXM261,,,1981-49-3,,LJQLQCAXBUHEAZ-UWTATZPHSA-J,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1",[H]O[C@@]([H])(C(=O)OP([O-])([O-])=O)C([H])([H])OP([O-])([O-])=O,cpd:C00236,path:map01230,Biosynthesis of amino acids
13dpg,"Glyceric acid 1,3-biphosphate",C3H4O10P2,-4,266.0371,265.9592695,C00236,683,,HMDB0001270,3-phospho-D-glyceroyl dihydrogen phosphate;D-glyceraldehyde 3-phosphate,13dpg,13dpg,FDB022524,663,DPG,13dpg,"1,3-Biphosphoglycerate",,cpd00203,MNXM261,,,1981-49-3,,LJQLQCAXBUHEAZ-UWTATZPHSA-J,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1",[H]O[C@@]([H])(C(=O)OP([O-])([O-])=O)C([H])([H])OP([O-])([O-])=O,cpd:C00236,path:map01061,Biosynthesis of phenylpropanoids
13dpg,"Glyceric acid 1,3-biphosphate",C3H4O10P2,-4,266.0371,265.9592695,C00236,683,,HMDB0001270,3-phospho-D-glyceroyl dihydrogen phosphate;D-glyceraldehyde 3-phosphate,13dpg,13dpg,FDB022524,663,DPG,13dpg,"1,3-Biphosphoglycerate",,cpd00203,MNXM261,,,1981-49-3,,LJQLQCAXBUHEAZ-UWTATZPHSA-J,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1",[H]O[C@@]([H])(C(=O)OP([O-])([O-])=O)C([H])([H])OP([O-])([O-])=O,cpd:C00236,path:map05415,Diabetic cardiomyopathy
13dpg,"Glyceric acid 1,3-biphosphate",C3H4O10P2,-4,266.0371,265.9592695,C00236,683,,HMDB0001270,3-phospho-D-glyceroyl dihydrogen phosphate;D-glyceraldehyde 3-phosphate,13dpg,13dpg,FDB022524,663,DPG,13dpg,"1,3-Biphosphoglycerate",,cpd00203,MNXM261,,,1981-49-3,,LJQLQCAXBUHEAZ-UWTATZPHSA-J,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1",[H]O[C@@]([H])(C(=O)OP([O-])([O-])=O)C([H])([H])OP([O-])([O-])=O,cpd:C00236,path:map01120,Microbial metabolism in diverse environments
13dpg,"Glyceric acid 1,3-biphosphate",C3H4O10P2,-4,266.0371,265.9592695,C00236,683,,HMDB0001270,3-phospho-D-glyceroyl dihydrogen phosphate;D-glyceraldehyde 3-phosphate,13dpg,13dpg,FDB022524,663,DPG,13dpg,"1,3-Biphosphoglycerate",,cpd00203,MNXM261,,,1981-49-3,,LJQLQCAXBUHEAZ-UWTATZPHSA-J,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1",[H]O[C@@]([H])(C(=O)OP([O-])([O-])=O)C([H])([H])OP([O-])([O-])=O,cpd:C00236,path:map01060,Biosynthesis of plant secondary metabolites
13dpg,"Glyceric acid 1,3-biphosphate",C3H4O10P2,-4,266.0371,265.9592695,C00236,683,,HMDB0001270,3-phospho-D-glyceroyl dihydrogen phosphate;D-glyceraldehyde 3-phosphate,13dpg,13dpg,FDB022524,663,DPG,13dpg,"1,3-Biphosphoglycerate",,cpd00203,MNXM261,,,1981-49-3,,LJQLQCAXBUHEAZ-UWTATZPHSA-J,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1",[H]O[C@@]([H])(C(=O)OP([O-])([O-])=O)C([H])([H])OP([O-])([O-])=O,cpd:C00236,path:map01110,Biosynthesis of secondary metabolites
13dpg,"Glyceric acid 1,3-biphosphate",C3H4O10P2,-4,266.0371,265.9592695,C00236,683,,HMDB0001270,3-phospho-D-glyceroyl dihydrogen phosphate;D-glyceraldehyde 3-phosphate,13dpg,13dpg,FDB022524,663,DPG,13dpg,"1,3-Biphosphoglycerate",,cpd00203,MNXM261,,,1981-49-3,,LJQLQCAXBUHEAZ-UWTATZPHSA-J,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1",[H]O[C@@]([H])(C(=O)OP([O-])([O-])=O)C([H])([H])OP([O-])([O-])=O,cpd:C00236,path:map01063,Biosynthesis of alkaloids derived from shikimate pathway
13m3hmyrsACP,13-methyl-3-hydroxy-tetra-decanoyl-ACP,C26H49N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11538,,,,,,,,,,,
13m3omyrsACP,13-methyl-3-oxo-tetra-decanoyl-ACP,C26H47N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11537,,,,,,,,,,,
13mmyrsACP,13-methyl-tetra-decanoyl-ACP,C26H49N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11540,,,,,,,,,,,
13mtmrs2eACP,13-methyl-trans-tetra-dec-2-enoyl-ACP,C26H47N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11539,,,,,,,,,,,
14m3hpalmACP,14-methyl-3-hydroxy-hexa-decanoyl-ACP,C28H53N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11517,,,,,,,,,,,
14m3hpentdecACP,14-methyl-3-hydroxy-pentadecanoyl-ACP,C27H51N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11567,,,,,,,,,,,
14m3opalmACP,14-methyl-3-oxo-hexa-decanoyl-ACP,C28H51N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11516,,,,,,,,,,,
14m3opentdecACP,14-methyl-3-oxo-pentadecanoyl-ACP,C27H49N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11566,,,,,,,,,,,
14mpalmACP,14-methyl-hexa-decanoyl-ACP,C28H53N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11519,,,,,,,,,,,
14mpentdecACP,14-methyl-pentadecanoyl-ACP,C27H51N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11569,,,,,,,,,,,
14mtpalm2eACP,14-methyl-trans-hexa-dec-2-enoyl-ACP,C28H51N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11518,,,,,,,,,,,
14mtpentdec2eACP,14-methyl-trans-pentadec-2-enoyl-ACP,C27H49N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11568,,,,,,,,,,,
15m3hpalmACP,15-methyl-3-hydroxy-hexa-decanoyl-ACP,C28H53N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11542,,,,,,,,,,,
15m3opalmACP,15-methyl-3-oxo-hexa-decanoyl-ACP,C28H51N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11541,,,,,,,,,,,
15mpalmACP,15-methyl-hexa-decanoyl-ACP,C28H53N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11544,,,,,,,,,,,
15mtpalm2eACP,15-methyl-trans-hexa-dec-2-enoyl-ACP,C28H51N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11543,,,,,,,,,,,
1aihpdecg3p,"1-anteisoheptadecanoyl-sn-glycerol 3-phosphate (14-methyl-hexadecanoyl, anteiso-C17)",C20H39O7P,-2,0,0,,,,,,,,,,,,,,cpd15672,,,,,,,,,,,
1aipdecg3p,"1-anteisopentadecanoyl-sn-glycerol 3-phosphate (12-methyl-tetradecanoyl, anteiso-C15)",C18H36O7P,-1,0,0,,,,,,,,,,,,,,cpd15675,,,,,,,,,,,
1ddecg3p,1-acyl-sn-glycerol 3-phosphate(2-),C15H29O7P1,-2,0,0,,,57970,,,,,,,,1ddecg3p,,,cpd15325,MNXM4232,,,,,,,,,,
1hdec9eg3p,1-hexadec-9-enoyl-sn-glycerol 3-phosphate,C19H35O7P1,-2,0,0,,,,,,,,,,,1hdec9eg3p,,,cpd15326,MNXM91047,,,,,,,,,,
1hdecg3p,1-hexadecanoyl-sn-glycerol 3-phosphate,C19H37O7P1,-2,0,0,,,,,,,,,,,1hdecg3p,,,cpd15327,MNXM90586,,,,,,,,,,
1ihdecg3p,"1-isohexadecanoyl-sn-glycerol 3-phosphate (14-methyl-pentadecanoyl, iso-C16)",C19H38O7P,-1,0,0,,,,,,,,,,,,,,cpd15676,,,,,,,,,,,
1ihpdecg3p,"1-isoheptadecanoyl-sn-glycerol 3-phosphate (15-methyl-hexadecanoyl, iso-C17)",C20H39O7P,-2,0,0,,,,,,,,,,,,,,cpd15671,,,,,,,,,,,
1ipdecg3p,"1-isopentadecanoyl-sn-glycerol 3-phosphate (13-methyl-tetradecanoyl, iso-C15)",C18H36O7P,-1,0,0,,,,,,,,,,,,,,cpd15674,,,,,,,,,,,
1itdecg3p,"1-isotetradecanoyl-sn-glycerol 3-phosphate (12-methyl-tridecanoyl, iso-C14)",C17H34O7P,-1,0,0,,,,,,,,,,,,,,cpd15673,,,,,,,,,,,
1odec11eg3p,1-octadec-11-enoyl-sn-glycerol 3-phosphate,C21H39O7P1,-2,0,0,,,,,,,,,,,1odec11eg3p,,,cpd15328,MNXM91049,,,,,,,,,,
